check_number,name,date,species,year,country,discoverer ,lat,long,link,image,ref,ref_link,CHECK
99,OH 24,1.8,Homo habilis,1968,Tanzania,Peter Nzube,-2.993613,35.35115,"<a href=""HERE"">Click here for more info</a>",,,,
100,OH 5,1.75,Paranthropus boisei,1959,Tanzania,Mary Leakey,-2.993613,35.35115,"<a href=""HERE"">Click here for more info</a>",,,,
101,OH 7,1.75,Homo habilis,1960,Tanzania,Jonathan Leakey,-2.993613,35.35115,"<a href=""HERE"">Click here for more info</a>",,,,
102,OH 8,1.8,Homo habilis,1960,"Olduvai, Tanzania",,-2.993613,35.35115,"<a href=""HERE"">Click here for more info</a>",,,,
103,OH 9,1.4,Homo erectus,1960,"Olduvai, Tanzania",Louis Leakey,-2.993613,35.35115,"<a href=""HERE"">Click here for more info</a>",,,,
104,Omo remains,195±5,Homo sapiens,1967,Ethiopia,Richard Leakey,4.800353,35.967069,"<a href=""HERE"">Click here for more info</a>",,,,
105,Peking Man,0.73±0.50,Homo erectus,1921,China,Davidson Black,39.689167,115.923889,"<a href=""HERE"">Click here for more info</a>",,,,
106,Peninj Mandible,1.5,Paranthropus boisei,1964,Tanzania,Richard Leakey,-2.416667,36,"<a href=""HERE"">Click here for more info</a>",,,,
107,Petralona 1,200±40,Homo heidelbergensis,1960,Greece,n/a,37.967222,23.709722,"<a href=""HERE"">Click here for more info</a>",,,,
108,Pontynewydd,230,Homo neanderthalensis,1981,UK,n/a,53.226944,-3.476111,"<a href=""HERE"">Click here for more info</a>",,,,
109,Predmosti 3,,Homo sapiens,1894,Czech Republic,K.J. Maska,49.465556,17.439722,"<a href=""HERE"">Click here for more info</a>",,,,
110,Qafzeh 6,95±5,Homo sapiens,1930,Israel,"R. Neuville, M. Stekelis",32.688219,35.318242,"<a href=""HERE"">Click here for more info</a>",,,,
111,Qafzeh 9,100Äì90,Homo sapiens,1933,Israel,"T. McCown and H. Moivus, Jr.",32.688219,35.318242,"<a href=""HERE"">Click here for more info</a>",,,,
112,Red Deer Cave,13±1.5,Uncertain,1979,China,Darren Curnoe?,34.6197,112.4539,"<a href=""HERE"">Click here for more info</a>",,,,
113,Red Lady of Paviland,33,Homo sapiens,1823,UK,William Buckland,51.550086,-4.255186,"<a href=""HERE"">Click here for more info</a>",,,,
114,Saccopastore 1,250,Homo neanderthalensis,1929,Italy,Mario Grazioli,41.941745,12.50181,"<a href=""HERE"">Click here for more info</a>",,,,
115,Saldanha,0.5,Homo heidelbergensis,1953,South Africa,n/a,-32.997778,17.945556,"<a href=""HERE"">Click here for more info</a>",,,,
116,Sale ,0.4,Uncertain,1971,Morocco,A quarry worker,34.033333,-6.8,"<a href=""HERE"">Click here for more info</a>",,,,
117,Sangiran 17,0.7,Homo erectus,1969,Indonesia,S. Sartono,-7.45,110.833333,"<a href=""HERE"">Click here for more info</a>",,,,
118,Sangiran 2,1.15±0.45,Homo erectus,1937,Indonesia,G.H.R. von Koenigswald,-7.45,110.833333,"<a href=""HERE"">Click here for more info</a>",,,,
119,Sangiran 4,1,Homo erectus,1939,Indonesia,G.H.R. von Koenigswald,-7.45,110.833333,"<a href=""HERE"">Click here for more info</a>",,,,
120,Scladina,103±23,Homo neanderthalensis,1993,Belgium,n/a,50.483889,5.025556,"<a href=""HERE"">Click here for more info</a>",,,,
121,Shanidar 1,70±10,Homo neanderthalensis,1961,Iraq,Ralph Solecki,36.8006,44.2433,"<a href=""HERE"">Click here for more info</a>",,,,
122,SID-00B,49.2±2.5,Homo neanderthalensis,1994,"Sidr√≥n Cave, Spain",n/a,43.386111,-5.328333,"<a href=""HERE"">Click here for more info</a>",,,,
123,SID-20,37.30±0.83,Homo neanderthalensis,1994,"Sidr√≥n Cave, Spain",n/a,43.386111,-5.328333,"<a href=""HERE"">Click here for more info</a>",,,,
124,SK 46,2.25 - 1.80,Paranthropus robustus,1949,"Swartkrans, South Africa",Robert Broom,-25.929167,27.788889,"<a href=""HERE"">Click here for more info</a>",,,,
125,SK 48,2.25 - 1.80,Paranthropus robustus,1948,"Swartkrans, South Africa",Robert Broom,-25.929167,27.788889,"<a href=""HERE"">Click here for more info</a>",,,,
126,SK 847,2.25 -1.80,Homo habilis,1949,"Swartkrans, South Africa",,-25.929167,27.788889,"<a href=""HERE"">Click here for more info</a>",,,,
127,Skhul 5,100±20,Homo sapiens,1933,Israel,"T. McCown and H. Moivus, Jr.",32.688219,35.318242,"<a href=""HERE"">Click here for more info</a>",,,,
128,Steinheim,0.35,Homo heidelbergensis,1933,Germany,n/a,48.968333,9.276111,"<a href=""HERE"">Click here for more info</a>",,,,
129,STS 5,2.07,Australopithecus africanus,1947,"Sterkfontein, South Africa",Robert Broom,-26.0157,27.7346,"<a href=""HERE"">Click here for more info</a>",,,,
130,STS 52,2.61 - 2.07,Australopithecus africanus,1947,"Sterkfontein, South Africa",Robert Broom,-26.0157,27.7346,"<a href=""HERE"">Click here for more info</a>",,,,
131,STS 71,2.61 -2.07,Australopithecus africanus,1947,"Sterkfontein, South Africa",Robert Broom and John T. Robinson,-26.0157,27.7346,"<a href=""HERE"">Click here for more info</a>",,,,
132,StW 53,1.8 - 1.6,Uncertain,1976,"Sterkfontein, South Africa",A. R. Hughes,-26.0157,27.7346,"<a href=""HERE"">Click here for more info</a>",,,,
133,Stw 573,3.67,Australopithecus prometheus,1994,"Sterkfontein, South Africa",Ronald J. Clarke,-26.0157,27.7346,"<a href=""HERE"">Click here for more info</a>",,,,
134,Tabun C1,120,Homo neanderthalensis,1967,Israel,Arthur Jelinek,32.6705,34.9655,"<a href=""HERE"">Click here for more info</a>",,,,
